region,text,file-name,transcribed-text,runtime,text-size,transcribed-text-size,wrong-words,number-wrong-words,error-percentage,lang
Sudoeste - Paraná," É, mano, o top é que ali, né, mano, num raio ali tem boleiras de gente, né, é bastante circulação de pessoa e gente que mora e circulação de pessoa, né, mano, porque é... cidade turística...",./audio/bruno-pr.ogg," é mano, o topic ali é um raio ali e tem boluleira de gente né, porque tem bastante circulação de pessoas gente que mora e circulação de pessoas né, porque é cidade turística",45.62,36,33,"['topic', 'um', 'boluleira', 'pessoas', 'pessoas', 'turística']",6,16.67,pt-br
Oeste - Santa Catarina,"Claro, ano que vem fizemo alguma coisinha, vamo ta com a casa nova também. Ai fizemo, uns petisco, beleza?",./audio/carlos-sc.ogg," Claro, ano que vem fizemos alguma coisinha, não tá na casa nova também, aí fizemos pitisco, beleza?",23.04,19,17,"['fizemos', 'não', 'tá', 'na', 'também,', 'aí', 'fizemos', 'pitisco,']",8,42.11,pt-br
Sul - Bahia," Demorou, mano. Veja aí, veja aí. Vem jogar sim, mano. Não está difícil, ta ligado? É a gurizada da casa, que está jogando, mano. Cinquentão, pra ganhar... pra ganhar... milzão, né? Então, o investimento, né? Válido.",./audio/gabriel-ba.ogg," Demorou, mano. Veja aí, veja aí. Vem jogar assim, mano. Não tá difícil, tá ligado? É a gulisada da casa que tá jogando, mano. Cinquentão pra ganhar... Pra ganhar milzão, né? Então, investimento, né? Válido.",45.27,36,35,"['assim,', 'tá', 'tá', 'gulisada', 'casa', 'tá', 'Cinquentão', 'Pra', 'ganhar']",9,25.0,pt-br
Teresina - Piauí," Mano, a gente teve que chegar aqui no, na nordus antes, saca, que tinha mesa reservada, eu pensava que era 8 que tinha que chegar nós, ai a Andressa falou que é as 7, se arrume cola pra cá mano, pega um Uber aí.",./audio/leonardo-pi.ogg," Mano, a gente teve que chegar aqui na Norte dos Andes, aqui na mesa reservada. Eu pensava que era as oito que tinham que chegar, nós, aí é Andressiolocai em sete. Se arruma e cola pra cá mano, pega um Uber aí.",43.07,44,42,"['Norte', 'dos', 'Andes,', 'reservada.', 'Eu', 'oito', 'tinham', 'chegar,', 'aí', 'Andressiolocai', 'em', 'sete.', 'Se', 'arruma', 'e']",15,34.09,pt-br
Interior - São Paulo,"Então foi isso né, o Leo botou lá tipo, eu vou botar isso aqui, isso aqui, isso aqui, o que precisa depois de gente compra, e o caslu levou um whisky a mais pra garantir né e daí o resto a gente teve que comprar mesmo, eu levei uns 3kg de carne, o mineiro levou um porco, o caslu mandou lá um, uma medalhão lá, e foi nessa, entendeu? Mas suave biridi, tudo nosso pai",./audio/leonardo-sp.ogg," E foi isso né, lá o botou tipo eu falei vou botar isso aqui, isso aqui, isso aqui, depois a gente compra Aí o Kazul levou um whisky a mais pra garantir né E daí nos ruas a gente teve que comprar mesmo, deu, levei uns 3kg de carne, a mina mandou um porco O Kazul mandou um medalhão lá, e foi nessa, entendeu? R$20.000,00ánh.",112.81,75,65,"['E', 'tipo', 'falei', 'compra', 'Aí', 'Kazul', 'E', 'nos', 'ruas', 'deu,', 'mina', 'porco', 'O', 'Kazul', 'R$20.000,00ánh.']",15,20.0,pt-br
Capital - São Paulo," Mano, bagulho é que eu cheguei em casa, ai o Thiago me deu um salve e nós piou, mas não piou no after errado, tá ligado? Tipo, tinha dois after eu nem sabia, ele tinha, ele tava com o nome na lista em um e eu tava com o nome na lista em outro",./audio/marcos-sp.ogg," Mano, o bagulho é que eu cheguei em casa, o Thiago me deu um salve, nós piu, mas nós piu no after errado, tá ligado? Tipo, tinha dois afters, eu nem sabia. Ele tá o que o nome não alicia em um, eu tá o que o nome não alicia em outro.",48.3,54,52,"['salve,', 'piu,', 'piu', 'afters,', 'sabia.', 'Ele', 'alicia', 'um,', 'alicia', 'outro.']",10,18.52,pt-br
Rio de Janeiro,"Ah, ô Léo Brandão, 2h50 da tarde, né, meu amigo? Tu vai ficar mandando essas mensagens? Pelo amor de Deus, mano. Geral boladão no trabalho, tu tendo que...... pô, tem que ficar lendo essas merda que tu escreve?",./audio/matheus-rj.ogg," Ah, ô Léo Brandão, 2h50 da tarde, né, meu amigo? Tu vai ficar mandando essas mensagens? Pelo amor de Deus, mano. Geral boladão no trabalho, tu tendo que... Porra, tu ficava lendo essas merdas que tu escreve?",43.84,38,37,"['que...', 'Porra,', 'ficava', 'merdas']",4,10.53,pt-br
Santos - São Paulo,E aí mano vai ter aquele bondezinho Centro Efapi. Dos atleta. Quem vai fazer o auxílio transporte atleta?,./audio/maycon-sa.ogg," E aí mano vai ter aquele bondezinho Centro EFAP dos atletas, quem vai fazer o auxílio transporte atleta?",23.66,18,18,"['EFAP', 'dos', 'atletas,', 'quem']",4,22.22,pt-br
Minas Gerais,"Fala biridi, bom dia. Uai, mano. O que cê qué que eu falo? Eu juro que saca ali. Mas aqui é o que eu falo que é daí.",./audio/paulo-ms.ogg," Fala, veridinho. Bom dia. Uai, mano. O que é que você quer que eu fale? É, gente, o que é isso aqui? Você quer que eu fale o que daí?",38.34,28,30,"['Fala,', 'veridinho.', 'Bom', 'você', 'quer', 'fale?', 'É,', 'gente,', 'isso', 'aqui?', 'Você', 'quer', 'fale', 'daí?']",14,50.0,pt-br
Santa Catarina,"""Ma vai com o Conte pia, já não me convidou no último dia que foram, então convide ele né mano agora ta me convidando por que ele falou que não tava afim de ir.",./audio/vitor-sc.ogg," Vai com conta, já não me convidou no último dia que foram, então convida ele né mano, agora tá me convidando porque ele falou que não tava afim de ir",25.37,34,30,"['Vai', 'conta,', 'convida', 'mano,', 'tá', 'porque', 'ir']",7,20.59,pt-br
