region,text,file-name,transcribed-text,runtime,text-size,transcribed-text-size,wrong-words,number-wrong-words,error-percentage,lang
Sudoeste - Paraná," É, mano, o top é que ali, né, mano, num raio ali tem boleiras de gente, né, é bastante circulação de pessoa e gente que mora e circulação de pessoa, né, mano, porque é... cidade turística...",./audio/bruno-pr.ogg," É, mano, o top que é ali, né, mano? É um raio ali, tem boleiras de gente, né, Pela? Tem bastante circulação de pessoas e gente que mora em circulação de pessoas, né, mano? Sida, é turística.",12.91,36,37,"['mano?', 'É', 'um', 'Pela?', 'Tem', 'pessoas', 'em', 'pessoas,', 'mano?', 'Sida,', 'turística.']",11,30.56,pt-br
Oeste - Santa Catarina,"Claro, ano que vem fizemo alguma coisinha, vamo ta com a casa nova também. Ai fizemo, uns petisco, beleza?",./audio/carlos-sc.ogg," Claro, onde que vem? Fizemos alguma coisa, não está na casa nova também. Aí fizemos piscos, beleza?",10.48,19,17,"['onde', 'vem?', 'Fizemos', 'coisa,', 'não', 'está', 'na', 'Aí', 'fizemos', 'piscos,']",10,52.63,pt-br
Sul - Bahia," Demorou, mano. Veja aí, veja aí. Vem jogar sim, mano. Não está difícil, ta ligado? É a gurizada da casa, que está jogando, mano. Cinquentão, pra ganhar... pra ganhar... milzão, né? Então, o investimento, né? Válido.",./audio/gabriel-ba.ogg," Demorou, mano. Veja aí, veja aí. Veja jogar assim, mano. Não tá difícil, tá ligado? É a agorizada da casa que tá jogando, mano. Cinco então pra ganhar... Pra ganhar... Emusão, né? Então, investimento, né? Válido.",14.43,36,36,"['assim,', 'tá', 'tá', 'agorizada', 'casa', 'tá', 'Cinco', 'então', 'Pra', 'Emusão,']",10,27.78,pt-br
Teresina - Piauí," Mano, a gente teve que chegar aqui no, na nordus antes, saca, que tinha mesa reservada, eu pensava que era 8 que tinha que chegar nós, ai a Andressa falou que é as 7, se arrume cola pra cá mano, pega um Uber aí.",./audio/leonardo-pi.ogg," Mano, a gente teve que chegar aqui na Nordus antes, sabe? Com a mesa reservada. Eu pensava que era às 8 que tinha que chegar a nós. Aí a André se coloca em 7. Se arrume e cola pra cá, mano. Pega um Uber aí.",13.3,44,45,"['Nordus', 'sabe?', 'Com', 'reservada.', 'Eu', 'às', 'nós.', 'Aí', 'André', 'coloca', 'em', '7.', 'Se', 'e', 'cá,', 'mano.', 'Pega']",17,38.64,pt-br
Interior - São Paulo,"Então foi isso né, o Leo botou lá tipo, eu vou botar isso aqui, isso aqui, isso aqui, o que precisa depois de gente compra, e o caslu levou um whisky a mais pra garantir né e daí o resto a gente teve que comprar mesmo, eu levei uns 3kg de carne, o mineiro levou um porco, o caslu mandou lá um, uma medalhão lá, e foi nessa, entendeu? Mas suave biridi, tudo nosso pai",./audio/leonardo-sp.ogg," Eu já fiz, né? O botou lá tipo, eu vou botar isso aqui, isso aqui, isso aqui, isso aqui, isso aqui, isso aqui. Depois a gente compra. É o casulo, levou um risco que é mais para garantir, né? E daí no Juva, a gente teve que comprar mesmo. Eu levei uns três quilos de carne, o mineiro mandou um porco, o casulo mandou uma medalhão lá, e foi nessa, entendeu? Me sobe,<|tr|><|transcribe|><|tr|><|transcribe|> DD-Hikmeli'nin Lastik'e difficile algo anche iç tuşu ed GPA' yattık, Oakman sen Cholycal'in Punk' ec PocketWar'a vain ilesegalizm boy consultation anda случаdu mu ребенe düşürcreat",68.1,75,98,"['Eu', 'já', 'fiz,', 'né?', 'O', 'aqui.', 'Depois', 'compra.', 'É', 'casulo,', 'risco', 'é', 'para', 'garantir,', 'né?', 'E', 'no', 'Juva,', 'mesmo.', 'Eu', 'três', 'quilos', 'casulo', 'Me', 'sobe,<|tr|><|transcribe|><|tr|><|transcribe|>', ""DD-Hikmeli'nin"", ""Lastik'e"", 'difficile', 'algo', 'anche', 'iç', 'tuşu', 'ed', ""GPA'"", 'yattık,', 'Oakman', 'sen', ""Cholycal'in"", ""Punk'"", 'ec', ""PocketWar'a"", 'vain', 'ilesegalizm', 'boy', 'consultation', 'anda', 'случаdu', 'mu', 'ребенe', 'düşürcreat']",50,66.67,pt-br
Capital - São Paulo," Mano, bagulho é que eu cheguei em casa, ai o Thiago me deu um salve e nós piou, mas não piou no after errado, tá ligado? Tipo, tinha dois after eu nem sabia, ele tinha, ele tava com o nome na lista em um e eu tava com o nome na lista em outro",./audio/marcos-sp.ogg," Mano, o balguleque eu cheguei em casa, ele tinha algo que não salve nas piúas, mas a piúa não é after errado, tá ligado? Tipo, tinha dois after, nem sabia. Ele tinha algo que não me naleça nenhum, eu tava com um nome naleça em outro.",15.23,54,46,"['balguleque', 'algo', 'nas', 'piúas,', 'a', 'piúa', 'after,', 'sabia.', 'Ele', 'algo', 'naleça', 'nenhum,', 'naleça', 'outro.']",14,25.93,pt-br
Rio de Janeiro,"Ah, ô Léo Brandão, 2h50 da tarde, né, meu amigo? Tu vai ficar mandando essas mensagens? Pelo amor de Deus, mano. Geral boladão no trabalho, tu tendo que...... pô, tem que ficar lendo essas merda que tu escreve?",./audio/matheus-rj.ogg," Olha o Brandão, 2h50 da tarde, né, meu amigo? Tu vai ficar olhando essas mensagens pela mão de Deus, mano. Geral, bola, dá um no trabalho, tu tem que... Pô, tem ficado dançando a merda, tu te escreve.",14.2,38,38,"['Olha', 'o', 'olhando', 'mensagens', 'pela', 'mão', 'Geral,', 'bola,', 'dá', 'um', 'que...', 'Pô,', 'ficado', 'dançando', 'a', 'merda,', 'te', 'escreve.']",18,47.37,pt-br
Santos - São Paulo,E aí mano vai ter aquele bondezinho Centro Efapi. Dos atleta. Quem vai fazer o auxílio transporte atleta?,./audio/maycon-sa.ogg," e aí mano vai ter aquele bondezinho centro e fape os atletas, quem vai fazer o auxílio transporte atleta",11.41,18,19,"['e', 'centro', 'e', 'fape', 'os', 'atletas,', 'quem', 'atleta']",8,44.44,pt-br
Minas Gerais,"Fala biridi, bom dia. Uai, mano. O que cê qué que eu falo? Eu juro que saca ali. Mas aqui é o que eu falo que é daí.",./audio/paulo-ms.ogg," fala verídeo, mande a... uai mano... o que é que você quer que eu falo? ai... vindo que saca... mas o que é que eu falo? o que é daí?",12.85,28,30,"['fala', 'verídeo,', 'mande', 'a...', 'uai', 'mano...', 'você', 'quer', 'ai...', 'vindo', 'saca...', 'mas', 'daí?']",13,46.43,pt-br
Santa Catarina,"""Ma vai com o Conte pia, já não me convidou no último dia que foram, então convide ele né mano agora ta me convidando por que ele falou que não tava afim de ir.",./audio/vitor-sc.ogg," Vai com o conto, piá, já não me convidou no último dia que foram, então convida ele, né mano? O guarda me convidando porque ele falou que não estava a fim de ir.",12.96,34,33,"['Vai', 'conto,', 'piá,', 'convida', 'ele,', 'mano?', 'O', 'guarda', 'porque', 'estava', 'a', 'fim']",12,35.29,pt-br
